O depth of:,1,2,3,4,5,6,7,8,9,10,11,12,X win sum
X depth of 1,1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-7
X depth of 2,1,-1,1,1,1,1,-1,1,1,0,1,0,6
X depth of 3,1,1,1,-1,0,0,-1,-1,-1,1,-1,-1,-2
X depth of 4,1,0,1,-1,1,-1,-1,0,-1,1,1,-1,0
X depth of 5,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,0
X depth of 6,1,1,1,1,-1,1,1,-1,1,-1,0,-1,3
X depth of 7,1,-1,1,-1,1,1,1,1,1,-1,-1,-1,2
X depth of 8,1,-1,1,0,0,1,0,-1,-1,-1,-1,0,-2
X depth of 9,1,0,1,-1,1,1,1,1,1,-1,-1,-1,3
X depth of 10,1,1,1,0,0,1,0,0,0,-1,-1,0,2
X depth of 11,1,1,1,0,1,1,1,0,1,-1,1,1,8
X depth of 12,1,-1,1,1,0,1,1,0,0,1,1,-1,5
O win sum,-12,-1,-12,1,-4,-7,0,2,0,5,3,7,
Total win sum:,-19,5,-14,1,-4,-4,2,0,3,7,11,12,
